identifier,type,id,capacity,charging_station:output,access,payment:cards,opening_hours,network,total_sockets,total_kw,flag_missing_tag,overflow,overflow_power,adjusted_kw,socket:chademo,socket:tesla_destination,socket:tesla_supercharger_ccs,socket:type2,socket:type2_cable,socket:type2_combo
PNI-00027,unassigned_point,node/13011504518,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
PNI-?????,unassigned_point,node/13011504519,2,0.0,yes,yes,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,0,0,0,2,0,0
PNI-?????,unassigned_point,node/13011504520,2,0.0,yes,yes,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,0,0,0,2,0,0
PNI-?????,unassigned_point,node/13011504521,2,0.0,yes,yes,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,0,0,0,2,0,0
LRA-00160,unassigned_point,node/13012276801,1,0.0,yes,no,24/7,Mobi.E,1,11.0,no,0,0.0,11.0,0,0,0,1,0,0
SBR-00005,unassigned_point,node/13012277297,2,0.0,yes,yes,24/7,Mobi.E,3,380.0,no,1,80.0,300.0,1,0,0,0,0,2
LRA-00162,unassigned_point,node/13012288572,1,0.0,yes,no,24/7,Mobi.E,1,11.0,no,0,0.0,11.0,0,0,0,1,0,0
LRA-00161,unassigned_point,node/13012288573,1,0.0,yes,no,24/7,Mobi.E,1,11.0,no,0,0.0,11.0,0,0,0,1,0,0
GRD-00045,unassigned_point,node/13016256782,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
GRD-00050,unassigned_point,node/13016290584,2,142.0,yes,no,24/7,Mobi.E,3,262.0,no,1,22.0,142.0,0,0,0,1,0,2
GRD-00051,unassigned_point,node/13016316763,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
GRD-00048,unassigned_point,node/13016324038,2,0.0,yes,no,24/7,Mobi.E,3,262.0,no,1,22.0,240.0,0,0,0,1,0,2
GRD-00046,unassigned_point,node/13016341254,2,142.0,yes,no,24/7,Mobi.E,3,262.0,no,1,22.0,142.0,0,0,0,1,0,2
GRD-00047,unassigned_point,node/13016353547,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
GRD-00049,unassigned_point,node/13016356441,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
GRD-00052,unassigned_point,node/13016357913,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
GRD-00053,unassigned_point,node/13016360506,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,0,0,0,2,0,0
GRD-00055,unassigned_point,node/13016363603,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
GRD-00054,unassigned_point,node/13016364035,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
TND-00020,unassigned_point,node/13016371314,2,142.0,yes,no,24/7,Mobi.E,3,262.0,no,1,22.0,142.0,0,0,0,1,0,2
CBR-00041,unassigned_point,node/13017883601,2,0.0,yes,no,24/7,Mobi.E,2,22.0,no,0,0.0,22.0,0,0,0,2,0,0
CVL-00038,unassigned_point,node/13017888243,2,0.0,yes,no,24/7,Mobi.E,2,200.0,no,0,0.0,200.0,1,0,0,0,0,1
VLC-00020,unassigned_point,node/13017913871,2,0.0,yes,yes,Mo-Su 08:00-21:00,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
PLM-?????,unassigned_point,node/13017979428,2,0.0,yes,no,24/7,Mobi.E,3,132.0,yes,1,22.0,110.0,1,0,0,1,0,1
RGR-00012,unassigned_point,node/13019690475,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
RGR-00011,unassigned_point,node/13019730152,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
RGR-00013,unassigned_point,node/13019730799,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
RGR-00014,unassigned_point,node/13019735338,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
RGR-00016,unassigned_point,node/13019751126,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
RGR-00018,unassigned_point,node/13021802045,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
RGR-00017,unassigned_point,node/13021802338,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
GRD-00044,unassigned_point,node/13021803205,2,0.0,yes,no,24/7,Mobi.E,3,202.0,no,1,22.0,180.0,1,0,0,1,0,1
TMR-00032,unassigned_point,node/13021828254,2,0.0,customers,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CLB-00010,unassigned_point,node/13022968245,1,0.0,yes,no,24/7,Mobi.E,1,7.4,no,0,0.0,7.4,0,0,0,1,0,0
GDM-00062,unassigned_point,node/13027361865,2,0.0,yes,no,08:00-21:00,Mobi.E,2,120.0,no,0,0.0,120.0,0,0,0,0,0,2
MTS-?????,unassigned_point,node/13028676470,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,0,0,0,2,0,0
MTS-?????,unassigned_point,node/13028676471,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,0,0,0,2,0,0
MTS-?????,unassigned_point,node/13028676472,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,0,0,0,2,0,0
ETR-00024,unassigned_point,node/13032211740,2,0.0,yes,no,24/7,Mobi.E,2,250.0,yes,0,0.0,250.0,1,0,0,0,0,1
ETR-00024,unassigned_point,node/13032211741,1,0.0,yes,no,24/7,Mobi.E,1,200.0,yes,0,0.0,200.0,0,0,0,0,0,1
ETR-00024,unassigned_point,node/13032211742,1,0.0,yes,no,24/7,Mobi.E,1,200.0,yes,0,0.0,200.0,0,0,0,0,0,1
ETR-00025,unassigned_point,node/13032211743,1,0.0,yes,no,24/7,Mobi.E,1,22.0,yes,0,0.0,22.0,0,0,0,1,0,0
ALQ-00029,unassigned_point,node/13034653274,2,0.0,yes,no,24/7,Mobi.E,2,120.0,no,0,0.0,120.0,0,0,0,0,0,2
CSC-00402,unassigned_point,node/13034883694,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00401,unassigned_point,node/13034883695,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00390,unassigned_point,node/13034883696,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00383,unassigned_point,node/13034883697,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00376,unassigned_point,node/13034883698,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00318,unassigned_point,node/13034883699,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00315,unassigned_point,node/13034883700,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00044,unassigned_point,node/13035039839,1,0.0,customers,no,24/7,Mobi.E,1,7.4,no,0,0.0,7.4,0,0,0,1,0,0
CSC-00420,unassigned_point,node/13035039840,2,0.0,customers,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00314,unassigned_point,node/13035115901,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
MTJ-00087,unassigned_point,node/13035152495,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
MTJ-00112,unassigned_point,node/13035442093,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
OER-00259,unassigned_point,node/13035479430,2,0.0,yes,no,24/7,Mobi.E,2,240.0,no,0,0.0,240.0,0,0,0,0,0,2
VRL-00049,unassigned_point,node/13035513017,2,0.0,yes,yes,24/7,Mobi.E,3,143.0,yes,1,43.0,100.0,1,0,0,0,1,1
OVR-00010,unassigned_point,node/13038022383,1,0.0,yes,no,09:00-21:30,Mobi.E,1,22.0,no,0,0.0,22.0,0,0,0,1,0,0
BGC-00024,unassigned_point,node/13038118939,2,0.0,yes,no,24/7,Mobi.E,2,360.0,no,0,0.0,360.0,0,0,0,0,0,2
BGC-00025,unassigned_point,node/13038118940,2,0.0,yes,no,24/7,Mobi.E,2,360.0,no,0,0.0,360.0,0,0,0,0,0,2
CSC-00098,unassigned_point,node/13038151259,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
MGL-00018,unassigned_point,node/13038169959,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
MTA-00023,unassigned_point,node/13038180797,2,0.0,yes,no,24/7,Mobi.E,2,240.0,yes,0,0.0,240.0,0,0,0,0,0,2
MTA-00022,unassigned_point,node/13038180798,2,0.0,yes,no,24/7,Mobi.E,3,122.0,yes,1,22.0,100.0,0,0,0,0,1,2
VNG-00205,unassigned_point,node/13038210257,2,0.0,yes,no,09:00-21:30,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CDN-00016,unassigned_point,node/13042085085,2,300.0,yes,no,24/7,Mobi.E,2,600.0,no,0,0.0,300.0,0,0,0,0,0,2
SNT-00206,unassigned_point,node/13042108163,2,0.0,yes,no,09:00-21:30,Mobi.E,2,44.0,yes,0,0.0,44.0,0,0,0,2,0,0
SNT-00115,unassigned_point,node/13042146474,2,0.0,yes,no,24/7,Mobi.E,2,7.4,no,0,0.0,7.4,0,0,0,2,0,0
EVR-00064,unassigned_point,node/13042150605,2,120.0,yes,yes,24/7,Mobi.E,2,120.0,yes,0,0.0,120.0,0,0,0,0,0,2
FIG-00041,unassigned_point,node/13042767416,2,180.0,yes,yes,24/7,Mobi.E,2,360.0,no,0,0.0,180.0,0,0,0,0,0,2
VLC-00022,unassigned_point,node/13042840598,2,0.0,yes,yes,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
BRG-00037,unassigned_point,node/13042861978,1,0.0,customers,no,24/7,Mobi.E,1,7.4,no,0,0.0,7.4,0,0,0,1,0,0
The Lake Spa Resort Tesla Destination Charger,unassigned_point,node/13043749714,2,0.0,customers,,,Tesla,2,12.0,no,0,0.0,12.0,0,1,0,0,1,0
Casa das Penhas Douradas Tesla Destination Charger,unassigned_point,node/13043781974,2,0.0,customers,,,Tesla,2,38.0,no,0,0.0,38.0,0,1,0,0,1,0
Cherry Sculpture Hotel Tesla Destination Charger,unassigned_point,node/13043792838,2,0.0,customers,,,Tesla,2,32.0,no,0,0.0,32.0,0,1,0,0,1,0
CBR-00106,unassigned_point,node/13046653829,2,0.0,private,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00331,unassigned_point,node/13050701488,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
