identifier,type,id,operator,capacity,charging_station:output,access,payment:cards,opening_hours,network,total_sockets,total_kw,flag_missing_tag,overflow,overflow_power,adjusted_kw,socket:chademo,socket:chademo:kw,socket:tesla_destination,socket:tesla_destination:kw,socket:type2,socket:type2:kw,socket:type2_cable,socket:type2_cable:kw,socket:type2_combo,socket:type2_combo:kw
LSB-01321,unassigned_point,node/13751153694,Galp Power,2,0.0,yes,yes,24/7,Mobi.E,2,240.0,yes,0,0.0,240.0,,,,,,,,,2,120.0
LLE-00257,unassigned_point,node/13753651800,Helexia II,2,0.0,customers,no,24/7,Mobi.E,2,200.0,yes,0,0.0,200.0,,,,,,,,,2,100.0
BRG-00155,unassigned_point,node/13753679365,Powerdot,2,0.0,yes,no,09:00-22:00,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
BRG-00154,unassigned_point,node/13753679366,Powerdot,2,0.0,yes,no,09:00-22:00,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
LSB-01186,unassigned_point,node/13753731866,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,yes,0,0.0,22.0,,,,,,,1,22.0,,
LSB-01185,unassigned_point,node/13753731867,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,yes,0,0.0,22.0,,,,,,,1,22.0,,
LSB-01184,unassigned_point,node/13753731868,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,yes,0,0.0,22.0,,,,,,,1,22.0,,
LMG-00027,unassigned_point,node/13753761478,Iberdrola,2,0.0,yes,no,24/7,Mobi.E,2,100.0,yes,0,0.0,100.0,,,,,,,,,2,50.0
VVC-00009,unassigned_point,node/13753788105,DTE,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
VNG-00242,unassigned_point,node/13753794401,Powerdot,2,0.0,yes,yes,11:00-22:30,Mobi.E,2,150.0,yes,0,0.0,150.0,1,50.0,,,,,,,1,100.0
VNG-00241,unassigned_point,node/13753794414,Powerdot,2,0.0,yes,yes,11:00-22:30,Mobi.E,2,150.0,yes,0,0.0,150.0,1,50.0,,,,,,,1,100.0
MCQ-00008,unassigned_point,node/13757021331,Galp Power,2,0.0,customers,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
MCQ-00007,unassigned_point,node/13757021332,Galp Power,2,0.0,customers,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
The One Palácio da Anunciada Tesla Destination Charger,unassigned_point,node/13758292427,The One Palácio da Anunciada,2,0.0,customers,,,Tesla,2,44.0,no,0,0.0,44.0,,,1,22.0,,,1,22.0,,
node/13758363872,unassigned_point,node/13758363872,Sport Hotel,1,0.0,customers,,,Tesla,1,22.0,yes,0,0.0,22.0,,,,,,,1,22.0,,
